Annandale, 7 10N, 58 29W, Pomeroon-Supenaam
Anna Regina, 7 16N, 58 29W, Pomeroon-Supenaam
Anns Grove, 6 44N, 57 57W, Demerara-Mahaica
Apoteri, 4 02N, 58 35W, Upper Takutu-Upper Essequibo
Arakaka, 7 35N, 60 01W, Barima-Waini
Aranaputa, 3 58N, 59 10W, Upper Takutu-Upper Essequibo
Arau, 6 25N, 61 08W, Cuyuni-Mazaruni
Arawai, 6 08N, 58 32W, Upper Demerara-Berbice
Arcadia, 6 44N, 58 09W, Demerara-Mahaica
Armadale, 6 24N, 57 37W, Mahaica-Berbice
Arnik, 5 01N, 59 32W, Potaro-Siparuni
Arthurville, 6 57N, 58 27W, Essequibo Islands-West Demerara
Aruka, 7 15N, 58 35W, Pomeroon-Supenaam
Auchlyne, 6 14N, 57 19W, East Berbice-Corentyne
Augsburg, 6 01N, 57 37W, East Berbice-Corentyne
Aurora, 5 50N, 57 39W, East Berbice-Corentyne
Aurora, 6 26N, 58 18W, Essequibo Islands-West Demerara
Aurora, 7 00N, 58 30W, Pomeroon-Supenaam
Awaruwanau, 2 39N, 59 12W, Upper Takutu-Upper Essequibo
Babylon, 5 59N, 57 09W, East Berbice-Corentyne
Bachelor’s Adventure, 6 46N, 58 00W, Demerara-Mahaica
Bachelor’s Adventure, 6 11N, 57 26W, East Berbice-Corentyne
Bachelor’s Adventure, 6 55N, 58 25W, Essequibo Islands-West Demerara
Bagatelle, 6 39N, 57 55W, Demerara-Mahaica
Bagotstown, 6 46N, 58 10W, Demerara-Mahaica
Bagotville, 6 46N, 58 13W, Essequibo Islands-West Demerara
Baiabu, 3 03N, 59 53W, Upper Takutu-Upper Essequibo
Baitun, 6 15N, 57 33W, Mahaica-Berbice
Bank Hall, 6 59N, 58 27W, Essequibo Islands-West Demerara
Barabara, 6 33N, 57 53W, Mahaica-Berbice
Baramanni, 7 50N, 59 13W, Barima-Waini
Barama Profit, 7 35N, 58 42W, Pomeroon-Supenaam
Barnwell, 6 52N, 58 22W, Essequibo Islands-West Demerara
Bartenstein, 6 50N, 58 27W, Essequibo Islands-West Demerara
Bartica, 6 24N, 58 37W, Cuyuni-Mazaruni
Basha, 6 38N, 57 51W, Mahaica-Berbice
Beau Voisin, 6 46N, 58 14W, Essequibo Islands-West Demerara
Bee Hive, 6 43N, 57 57W, Demerara-Mahaica
Bel Air, 6 49N, 58 08W, Demerara-Mahaica
Bel Air, 6 19N, 57 34W, Mahaica-Berbice
Bel Air Gardens, 6 49N, 58 08W, Demerara-Mahaica
Bel Air Park, 6 49N, 58 08W, Demerara-Mahaica
Bel Air Springs, 6 49N, 58 08W, Demerara-Mahaica
Belfield, 6 44N, 57 58W, Demerara-Mahaica
Belfield, 6 55N, 58 25W, Essequibo Islands-West Demerara
Belfield, 7 07N, 58 29W, Pomeroon-Supenaam
Bell, 6 30N, 57 42W, Mahaica-Berbice
Belle Plaine, 6 58N, 58 28W, Essequibo Islands-West Demerara
Belle Vue, 6 44N, 58 12W, Essequibo Islands-West Demerara
Belle Vue, 6 28N, 57 40W, Mahaica-Berbice
Belmont, 6 40N, 57 56W, Demerara-Mahaica
Belmont, 6 02N, 57 36W, East Berbice-Corentyne
Belmont, 6 37N, 57 50W, Mahaica-Berbice
Belvedere, 6 40N, 57 54W, Mahaica-Berbice
Belvidere, 6 16N, 57 22W, East Berbice-Corentyne
Benab, 5 59N, 57 09W, East Berbice-Corentyne
Bendorf, 6 47N, 58 30W, Essequibo Islands-West Demerara
Bengal, 6 07N, 57 12W, East Berbice-Corentyne
Berenstein, 5 38N, 57 52W, Upper Demerara-Berbice
Berlin, 6 21N, 58 19W, Essequibo Islands-West Demerara
Best, 6 48N, 58 04W, Demerara-Mahaica
Bethany, 6 58N, 58 35W, Pomeroon-Supenaam
Better Hope, 6 49N, 58 05W, Demerara-Mahaica
Better Hope, 7 23N, 58 31W, Pomeroon-Supenaam
Better Success, 7 22N, 58 30W, Pomeroon-Supenaam
Big Baiabu, 6 32N, 57 53W, Mahaica-Berbice
Big Sands, 1 46N, 58 33W, Upper Takutu-Upper Essequibo
Bladen Hall, 6 47N, 58 01W, Demerara-Mahaica
Blairmont, 6 15N, 57 33W, Mahaica-Berbice
Blake, 6 50N, 58 27W, Essequibo Islands-West Demerara
Blankenburg, 6 51N, 58 15W, Essequibo Islands-West Demerara
Blenheim, 6 13N, 58 18W, Essequibo Islands-West Demerara
Blenheim, 6 35N, 57 48W, Mahaica-Berbice
Bloomfield, 6 14N, 57 20W, East Berbice-Corentyne
Boff, 6 17N, 57 28W, East Berbice-Corentyne
Bon Success, 3 23N, 59 49W, Upper Takutu-Upper Essequibo
Bon Success, 6 46N, 58 15W, Essequibo Islands-West Demerara
Borlam, 6 17N, 57 24W, East Berbice-Corentyne
Bounty Hall, 7 22N, 58 31W, Pomeroon-Supenaam
Bourda, 6 49N, 58 09W, Demerara-Mahaica
Brahan, 6 27N, 57 39W, Mahaica-Berbice
Bremen, 7 09N, 58 29W, Pomeroon-Supenaam
Brickery, 6 38N, 58 12W, Demerara-Mahaica
Brighton, 6 09N, 57 13W, East Berbice-Corentyne
Britannia, 6 26N, 57 38W, Mahaica-Berbice
Broek en Waterland, 6 38N, 57 54W, Mahaica-Berbice
Broomhall, 6 38N, 57 51W, Mahaica-Berbice
Brothers, 6 49N, 58 05W, Demerara-Mahaica
Brothers, 6 11N, 57 33W, East Berbice-Corentyne
Buff, 6 12N, 57 16W, East Berbice-Corentyne
Bush Lot, 6 16N, 57 33W, Mahaica-Berbice
Bush Lot, 6 25N, 57 37W, Mahaica-Berbice
Bush Lot, 7 15N, 58 29W, Pomeroon-Supenaam
Bush Lot Farm, 6 12N, 57 16W, East Berbice-Corentyne
Bushy Park, 6 51N, 58 25W, Essequibo Islands-West Demerara
Bushy Park, 6 36N, 57 50W, Mahaica-Berbice
Butakari, 5 44N, 58 37W, Cuyuni-Mazaruni
Butuba, 5 46N, 58 20W, Upper Demerara-Berbice
Buxton, 6 47N, 58 02W, Demerara-Mahaica
Buxton, 7 25N, 58 37W, Pomeroon-Supenaam
Bygeval, 6 40N, 57 54W, Mahaica-Berbice
Calcutta, 6 33N, 57 45W, Mahaica-Berbice
Caledonia, 6 35N, 58 13W, Demerara-Mahaica
Caledonia, 7 00N, 58 27W, Essequibo Islands-West Demerara
Caledonia, 7 34N, 58 42W, Pomeroon-Supenaam
California, 6 07N, 57 37W, East Berbice-Corentyne
Cambridge, 6 42N, 57 56W, Demerara-Mahaica
Carnarvon, 5 57N, 57 09W, East Berbice-Corentyne
Catherina, 6 36N, 58 14W, Essequibo Islands-West Demerara
Catherina, 5 39N, 57 47W, Upper Demerara-Berbice
Catherina’s Lust, 6 24N, 57 36W, Mahaica-Berbice
Catherine, 6 32N, 57 45W, Mahaica-Berbice
Catunarib, 6 48N, 58 08W, Demerara-Mahaica
Certain Hope, 6 19N, 58 17W, Essequibo Islands-West Demerara
Champagne, 6 32N, 57 47W, Mahaica-Berbice
Chance, 6 31N, 57 48W, Mahaica-Berbice
Chapmans, 6 37N, 57 54W, Mahaica-Berbice
Chapman’s Grove, 7 24N, 58 36W, Pomeroon-Supenaam
Charlestown, 6 48N, 58 10W, Demerara-Mahaica
Charters, 6 08N, 58 16W, Essequibo Islands-West Demerara
Chateau Margot, 6 49N, 58 04W, Demerara-Mahaica
Chateau Truro, 6 57N, 58 25W, Essequibo Islands-West Demerara
Cheltenham, 6 16N, 57 23W, East Berbice-Corentyne
Chester, 6 27N, 57 39W, Mahaica-Berbice
Chi Chi, 5 32N, 60 09W, Cuyuni-Mazaruni
Christianburg, 6 02N, 58 18W, Upper Demerara-Berbice
Christinas Lust, 6 07N, 57 37W, East Berbice-Corentyne
Clairmont, 6 57N, 58 24W, Essequibo Islands-West Demerara
Clemwood, 6 15N, 58 17W, Essequibo Islands-West Demerara
Clemwood Settlement, 6 15N, 58 17W, Demerara-Mahaica
Clifton, 6 14N, 57 20W, East Berbice-Corentyne
Clonbrook, 6 44N, 57 56W, Demerara-Mahaica
Clonbrook, 5 56N, 57 09W, East Berbice-Corentyne
Cockatara, 6 00N, 58 18W, Upper Demerara-Berbice
Coffee Grove, 7 18N, 58 29W, Pomeroon-Supenaam
Coldingen, 6 47N, 58 01W, Demerara-Mahaica
Columbia, 6 39N, 57 52W, Mahaica-Berbice
Columbia, 7 13N, 58 29W, Pomeroon-Supenaam
Commons, 6 04N, 58 18W, Upper Demerara-Berbice
Concordia, 6 54N, 58 29W, Essequibo Islands-West Demerara
Concordia, 5 31N, 57 56W, Upper Demerara-Berbice
Content, 6 35N, 58 14W, Essequibo Islands-West Demerara
Content, 6 39N, 57 53W, Mahaica-Berbice
Cook Tom, 6 22N, 57 50W, Mahaica-Berbice
Coomacka Lands, 5 57N, 58 18W, Upper Demerara-Berbice
Cornelia Ida, 6 52N, 58 16W, Essequibo Islands-West Demerara
Corriverton, 5 53N, 57 09W, East Berbice-Corentyne
Cottage, 6 28N, 57 40W, Mahaica-Berbice
Cotton Tree, 6 17N, 57 33W, Mahaica-Berbice
Courtland, 6 17N, 57 24W, East Berbice-Corentyne
Cove, 6 45N, 57 59W, Demerara-Mahaica
Covent Garden, 6 44N, 58 11W, Demerara-Mahaica
Covent Garden, 7 30N, 58 39W, Pomeroon-Supenaam
Coverden, 5 50N, 57 09W, East Berbice-Corentyne
Cracrana, 4 00N, 59 33W, Upper Takutu-Upper Essequibo
Craig, 6 41N, 58 10W, Demerara-Mahaica
Craig Milne, 6 45N, 57 59W, Demerara-Mahaica
Crashwater, 3 51N, 59 03W, Upper Takutu-Upper Essequibo
Cromarty, 6 11N, 57 15W, East Berbice-Corentyne
Cullen, 7 10N, 58 29W, Pomeroon-Supenaam
Culvert City, 3 22N, 59 48W, Upper Takutu-Upper Essequibo
Cumberland, 6 15N, 57 29E, East Berbice-Corentyne
Cummings Lodge, 6 49N, 58 07W, Demerara-Mahaica
Dadanawa, 2 49N, 59 31W, Upper Takutu-Upper Essequibo
Dageraad, 7 12N, 58 30W, Pomeroon-Supenaam
Danielstown, 7 18N, 58 29W, Pomeroon-Supenaam
Danjou Park, 6 01N, 58 19W, Upper Demerara-Berbice
Dankbarheid, 6 09N, 57 38W, Mahaica-Berbice
Dantzig, 6 39N, 57 53W, Mahaica-Berbice
Dartmouth, 7 22N, 58 30W, Pomeroon-Supenaam
Dawa, 7 12N, 58 36W, Pomeroon-Supenaam
Dead Tree Farm, 6 01N, 57 10W, East Berbice-Corentyne
Dead Tree Farm, 6 01N, 57 10W, East Berbice-Corentyne
De Agatha, 5 38N, 57 52W, Upper Demerara-Berbice
De Cottage, 6 18N, 58 17W, Essequibo Islands-West Demerara
D’Edward, 6 17N, 57 32W, Mahaica-Berbice
De Endragt, 6 48N, 58 03W, Demerara-Mahaica
De Endragt, 5 46N, 57 43W, Upper Demerara-Berbice
De Gezusters, 6 43N, 58 13W, Essequibo Islands-West Demerara
De Herstelling, 6 10N, 58 17W, Essequibo Islands-West Demerara
De Hoop, 6 39N, 57 54W, Mahaica-Berbice
De Jonge Rachael, 6 42N, 58 12W, Essequibo Islands-West Demerara
De Kinderen, 6 46N, 58 15W, Essequibo Islands-West Demerara
De Kinderen, 6 38N, 57 54W, Mahaica-Berbice
De Maria Elizabeth, 5 53N, 58 18W, Upper Demerara-Berbice
Den Amstel, 6 51N, 58 15W, Essequibo Islands-West Demerara
Den Heuvel, 6 34N, 58 14W, Demerara-Mahaica
De Ridder’s Faith, 6 46N, 58 16W, Essequibo Islands-West Demerara
Deutichem, 6 10N, 57 34W, East Berbice-Corentyne
De Velde, 5 47N, 57 40W, Upper Demerara-Berbice
De Voedster, 6 10N, 57 26W, East Berbice-Corentyne
Devonshire Castle, 7 20N, 58 29W, Pomeroon-Supenaam
De Vriend, 6 39N, 57 54W, Mahaica-Berbice
De Vriendschap, 5 47N, 57 46W, Upper Demerara-Berbice
De Vryheid, 5 31N, 57 56W, Upper Demerara-Berbice
De Willem, 6 53N, 58 19W, Essequibo Islands-West Demerara
De Witte Zwaan, 6 54N, 58 27W, Essequibo Islands-West Demerara
Diamond, 7 35N, 58 44W, Pomeroon-Supenaam
Dingwall, 6 08N, 57 12W, East Berbice-Corentyne
Dochfour, 6 44N, 57 58W, Demerara-Mahaica
Domburg, 6 57N, 58 26W, Essequibo Islands-West Demerara
Doorn Haag, 6 56N, 58 25W, Essequibo Islands-West Demerara
Doornloff, 5 33N, 57 55W, Upper Demerara-Berbice
Dora, 6 17N, 58 16W, Demerara-Mahaica
Dorabisi, 5 58N, 58 18W, Upper Demerara-Berbice
Drill, 6 36N, 57 49W, Mahaica-Berbice
Dryshore, 7 01N, 58 30W, Pomeroon-Supenaam
Dunbarton Castle, 7 35N, 58 43W, Pomeroon-Supenaam
Dundee, 6 33N, 57 46W, Mahaica-Berbice
Dunkeld and Perth, 7 21N, 58 30W, Pomeroon-Supenaam
Dunoon, 6 26N, 58 18W, Essequibo Islands-West Demerara
Dun Robin, 6 17N, 57 27W, East Berbice-Corentyne
Durban, 6 20N, 58 42W, Cuyuni-Mazaruni
Durban Area, 6 48N, 58 08W, Demerara-Mahaica
Eagles Rust, 6 56N, 58 29W, Essequibo Islands-West Demerara
East La Penitence, 6 48N, 58 09W, Demerara-Mahaica
East Ruimveldt, 6 47N, 58 09W, Demerara-Mahaica
Ebini, 5 40N, 57 47W, Upper Demerara-Berbice
Ebini Ranch, 5 40N, 57 49W, Upper Demerara-Berbice
Eccles, 6 46N, 58 10W, Demerara-Mahaica
Edderton, 6 19N, 57 34W, Mahaica-Berbice
Edinburgh, 6 11N, 57 31W, East Berbice-Corentyne
Edinburgh, 6 52N, 58 17W, Essequibo Islands-West Demerara
Eldorado, 6 30N, 57 42W, Mahaica-Berbice
Eliza and Mary, 6 11N, 58 16W, Demerara-Mahaica
Elizabeth Ann, 6 27N, 58 18W, Demerara-Mahaica
Elizabeth Hall, 6 47N, 58 00W, Demerara-Mahaica
Enachu, 6 09N, 60 03W, Cuyuni-Mazaruni
Endeavour, 6 20N, 58 18W, Demerara-Mahaica
Endeavour, 6 44N, 58 16W, Essequibo Islands-West Demerara
Endeavour, 6 46N, 58 17W, Essequibo Islands-West Demerara
Endeavour, 6 40N, 57 55W, Mahaica-Berbice
Enmore, 6 46N, 57 59W, Demerara-Mahaica
Enterprise, 6 46N, 58 01W, Demerara-Mahaica
Enterprise, 6 55N, 58 24W, Essequibo Islands-West Demerara
Enterprise, 7 32N, 58 40W, Pomeroon-Supenaam
Epsom, 6 08N, 57 13W, East Berbice-Corentyne
Esau and Jacob, 6 28N, 57 47W, Mahaica-Berbice
Essendam, 6 05N, 57 35W, East Berbice-Corentyne
Eteringbang, 6 42N, 61 05W, Cuyuni-Mazaruni
Evergreen, 7 24N, 58 33W, Pomeroon-Supenaam
Eversham, 7 21N, 58 30W, Pomeroon-Supenaam
Expectation, 6 20N, 57 34W, Mahaica-Berbice
Experience, 6 24N, 58 18W, Essequibo Islands-West Demerara
Experiment, 6 04N, 57 35W, East Berbice-Corentyne
Experiment, 6 23N, 57 35W, Mahaica-Berbice
Fairfield, 6 38N, 57 52W, Mahaica-Berbice
Fairfield, 7 02N, 58 29W, Pomeroon-Supenaam
Fairs Rust, 5 59N, 58 17W, Upper Demerara-Berbice
Fairview, 4 39N, 58 41W, Potaro-Siparuni
Farm, 6 50N, 58 25W, Essequibo Islands-West Demerara
Fear Not, 6 49N, 58 05W, Demerara-Mahaica
Felicity, 6 32N, 57 48W, Mahaica-Berbice
Fellowship, 6 51N, 58 15W, Essequibo Islands-West Demerara
Fellowship, 6 34N, 57 47W, Mahaica-Berbice
Festival City, 6 47N, 58 08W, Demerara-Mahaica
First Savannah, 6 23N, 57 47E, Mahaica-Berbice
Flensburg, 6 34N, 58 14W, Essequibo Islands-West Demerara
Floyd Ward, 6 04N, 57 11W, East Berbice-Corentyne
Fort Canje, 6 15N, 57 31W, East Berbice-Corentyne
Fortitude, 6 33N, 57 48W, Mahaica-Berbice
Fort Nassau, 5 45N, 57 43W, Upper Demerara-Berbice
Fort Wellington, 6 24N, 57 36W, Mahaica-Berbice
Foulis, 6 46N, 58 00W, Demerara-Mahaica
Foulis, 6 31N, 57 43W, Mahaica-Berbice
Frederica Johanna, 6 38N, 57 54W, Mahaica-Berbice
Fredericksburg, 6 57N, 58 26W, Essequibo Islands-West Demerara
Free and Easy, 6 39N, 58 12W, Essequibo Islands-West Demerara
Freetown, 7 34N, 58 42W, Pomeroon-Supenaam
Friends, 6 11N, 57 33W, East Berbice-Corentyne
Friendship, 6 48N, 58 02W, Demerara-Mahaica
Friendship, 5 57N, 57 09W, East Berbice-Corentyne
Friendship, 6 12N, 57 16W, East Berbice-Corentyne
Gangaram, 6 38N, 58 12W, Demerara-Mahaica
Garraway Stream, 5 23N, 59 07W, Potaro-Siparuni
Geertruyda, 5 45N, 57 42W, Upper Demerara-Berbice
Geneve, 6 46N, 58 15W, Essequibo Islands-West Demerara
Georgetown, 6 48N, 58 10W, Demerara-Mahaica
Georgia, 6 33N, 58 15W, Essequibo Islands-West Demerara
Germania, 6 01N, 57 37W, East Berbice-Corentyne
Geruchy and Ruyters, 6 37N, 57 54W, Mahaica-Berbice
Glasgow, 6 12N, 57 31W, East Berbice-Corentyne
Glastulich, 6 03N, 57 35W, East Berbice-Corentyne
Glaziers Lust, 6 39N, 57 52W, Mahaica-Berbice
Godt Zeit Alles, 5 32N, 57 56W, Upper Demerara-Berbice
Goed Fortuin, 6 47N, 58 12W, Essequibo Islands-West Demerara
Goedverwagting, 6 49N, 58 06W, Demerara-Mahaica
Goedverwagting, 6 42N, 58 12W, Essequibo Islands-West Demerara
Golden Fleece, 6 30N, 57 41W, Mahaica-Berbice
Golden Fleece, 7 09N, 58 29W, Pomeroon-Supenaam
Golden Grove, 6 42N, 58 11W, Demerara-Mahaica
Golden Grove, 6 45N, 57 59W, Demerara-Mahaica
Golden Grove, 6 25N, 57 37W, Mahaica-Berbice
Gold Hill, 6 05N, 58 18W, Upper Demerara-Berbice
Goldstone Hall, 6 13N, 57 28W, East Berbice-Corentyne
Good Banana Land, 6 14N, 57 29W, East Berbice-Corentyne
Good Faith, 6 33N, 57 46W, Mahaica-Berbice
Good Hope, 6 41N, 57 56W, Demerara-Mahaica
Good Hope, 6 48N, 58 03W, Demerara-Mahaica
Good Hope, 6 06N, 57 12W, East Berbice-Corentyne
Good Hope, 6 25N, 58 18W, Essequibo Islands-West Demerara
Good Hope, 6 59N, 58 30W, Pomeroon-Supenaam
Good Hope, 3 52N, 59 35W, Upper Takutu-Upper Essequibo
Good Intent, 6 42N, 57 55W, Demerara-Mahaica
Good Intent, 6 43N, 58 12W, Essequibo Islands-West Demerara
Good Intent, 7 00N, 58 30W, Pomeroon-Supenaam
Good Success, 6 41N, 58 11W, Demerara-Mahaica
Good Success, 6 57N, 58 28W, Essequibo Islands-West Demerara
Great Falls, 5 42N, 61 05W, Cuyuni-Mazaruni
Great Falls, 6 43N, 57 57W, Demerara-Mahaica
Greenwich Park, 6 52N, 58 23W, Essequibo Islands-West Demerara
Groenveldt, 6 52N, 58 17W, Essequibo Islands-West Demerara
Grove, 6 42N, 57 56W, Demerara-Mahaica
Grove, 6 51N, 58 26W, Essequibo Islands-West Demerara
Grove, 6 34N, 57 47W, Mahaica-Berbice
Gunns Strip, 1 45N, 58 35W, Upper Takutu-Upper Essequibo
